,YEAR,MONTH,COUNTRY,SITUATION,FORECAST,REGION
664,1997,SEPT,MAURITANIA,Isolated  maturing  and  mature  solitarious  adults continued to persist during September at a few places near Kiffa (1638N/1128W). Similar populations were present  in  the  south-west  north  of  Rkiz  (1655N/ 1516W).,Small scale breeding is likely to occur in a few places in the south and centre but population levels will remain extremely low and difficult to detect. Locust numbers may increase slightly in the south-west and a few adults may appear in the north-west by the end of the forecast period.,WEST AFRICA
665,1997,SEPT,MALI,There were unconfirmed reports of immature and mature solitarious and transiens adults at four locations in Timetrine and western Adrar des Iforas between Tin Eridjane  (1951N/0036E)  and  In-Bolrech  (2042N/ 0112E) during September.,"Low numbers of hoppers my appear in a few places of Timetrine and the western Adrar des Iforas as a result of small scale breeding during September and October. By the end of the forecast period, hoppers and adults could become concentrated in the remaining areas of green vegetation and form a few small groups.",WEST AFRICA
666,1997,SEPT,NIGER,,"Low numbers of solitarious adults my be present and breeding in a few places in Tamesna and western Air. However, population levels are expected to be remain at a low level. By the end of the forecast period, hoppers and adults could become concentrated in the remaining areas of green vegetation and form a few small groups.",WEST AFRICA
667,1997,SEPT,CHAD,,Low numbers of solitarious adults my be present and breeding in a few places in Biltine and northern Ouaddai provinces. Population levels are expected to be remain at a low level.,WEST AFRICA
668,1997,SEPT,BURKINA  FASO,,No significant developments are likely.,WEST AFRICA
669,1997,SEPT,CAPE  VERDE,,No significant developments are likely.,WEST AFRICA
670,1997,SEPT,GAMBIA,,No significant developments are likely.,WEST AFRICA
671,1997,SEPT,GUINEA BISSAU,,No significant developments are likely.,WEST AFRICA
672,1997,SEPT,GUINEA CONAKRY,,No significant developments are likely.,WEST AFRICA
673,1997,SEPT,SENEGAL,,No significant developments are likely.,WEST AFRICA
674,1997,SEPT,ALGERIA,Isolated adults were seen during the first decade of September in the extreme south near the Niger border at 1945N/0421E.,Scattered adults my be present in a few places in the central and southern Sahara. These my breed in areas of recent rainfall or run-off.,NORTH-WEST AFRICA
675,1997,SEPT,MOROCCO,No locusts were seen  in September.,Isolated solitary adults my appear in the extreme south-west by the end of the forecast period.,NORTH-WEST AFRICA
676,1997,SEPT,TUNISIA,No locusts were seen  in August.,No significant developments are likely.,NORTH-WEST AFRICA
677,1997,SEPT,LIBYA,,No significant developments are likely.,NORTH-WEST AFRICA
678,1997,SEPT,SUDAN,"In  eastern  Sudan,  several  swarms  were  seen between  Derudeb  (1731N/3607E)  and  Kassala (1524N/3630E). which were said to have come from the Eritrean border on the 4th. One swarm was immature and of high density, settling within an area of about 120 sq. km. Another was mature and about 90 sq km. A third swarm was seen on the 11th, was mature and about 100 sq km in size. Control operations treated about 31 sq km (3,150 ha). Some of these swarms probably laid eggs as about 1,012 ha of first and second instar hoppers were treated during the last half of the  month. Nearby, another 60 ha of second instar hoppers at densities of 250-300 per sq mtre were reported at several locations along the Atbara River on the 22nd. Low densities of mature adults were seen copulating at two locations north of Derudeb on the 28th. In northern Sudan, ground control operations treated 246 ha of low density late instar hoppers and adults near Shndi (1641N/3322E) on the 6th. High densities of immature adults were present about 100 km to the south on about 600 ha. On the 23rd, scattered mature adults were seen copulating west of the Nile at El Metemma (1642N/3322E). In central Sudan, a total of 1,180 ha was treated by ground teams against late instar hoppers and solitary immature adults at several places west of the Nile and north-west of Ed Dueim (1359N/3218E).","Breeding in the summer areas is expected to come to an end as conditions become dry. Consequently, hoppers and adults my concentrate in the remaining areas of green vegetation and could form a few small groups, especially near the Atbara River and in the Derudeb area. Adults and perhaps a few small groups or swarmlets could start appearing on the Red Sea coastal plains at anytime during the forecast period and lay if early rains occur.",EASTERN AFRICA
679,1997,SEPT,ERITREA,"Late information indicated that adults were seen in areas of run-off on the Naro Plains (1711N/3830E) of the Red Sea coast during the third decade of July. Breeding occurred in this area and on 18 August control operations  commenced  against  about  150  small patches of second to fifth instar solitary hoppers and fledglings covering about 400 ha. Hopper densities were up to 400/sq. m and some were gregarious. In the western lowlands, a few solitary adults were seen during surveys near the Barka River between Ghirmayka  (1529N/3640E)  and  Kerkebet  (1555N/ 3730E) on 5-7 September.","Moderate numbers of locusts are expected to be present in the northern part of the western lowlands where breeding my be in progress. However, numbers will decline as conditions become dry and adults mve eastwards. Numbers will increase on the Red Sea coastal plains as adults and perhaps a few small groups or swarmlets appear from the summer breeding areas of the interior. These will lay in areas of run-off or where rainfall occurs.",EASTERN AFRICA
680,1997,SEPT,SOMALIA,,Low numbers of solitarious adults are likely to be present and persist in the few inland valleys of the north and north-west where vegetation remains green.,EASTERN AFRICA
681,1997,SEPT,DJIBOUTI,,No significant developments are likely.,EASTERN AFRICA
682,1997,SEPT,ETHIOPIA,,No significant developments are likely.,EASTERN AFRICA
683,1997,SEPT,KENYA,,No significant developments are likely.,EASTERN AFRICA
684,1997,SEPT,TANZANIA,,No significant developments are likely.,EASTERN AFRICA
685,1997,SEPT,UGANDA,,No significant developments are likely.,EASTERN AFRICA
686,1997,SEPT,SAUDI ARABIA,No locusts were reported during September.,Low to moderate numbers of adults and perhaps a few small groups or swarmlets my appear on the southern coastal plains of the Red Sea from Eastern Africa. These are likely to breed near Jizan or in other areas that receive rainfall during the forecast period.,NEAR EAST
687,1997,SEPT,YEMEN,No locusts were seen on the Tihama coastal plains of the Red Sea during surveys carried out in the last week of September.,Low numbers of adults my appear on the Red Sea coastal plains and start to lay by the end of the forecast period in areas of recent rainfall. Isolated adults my be present in the interior region of Shbwah.,NEAR EAST
688,1997,SEPT,KUWAIT,No locusts were reported during August,No significant developments are likely.,NEAR EAST
689,1997,SEPT,EGYPT,,Locust numbers are likely to increase in the extreme south-east as adults and perhaps a few small groups or swarmlets appear on the coastal plains. These are expected to lay in areas that receive rainfall during the forecast period.,NEAR EAST
690,1997,SEPT,OMAN,,Low to moderate numbers of adults and perhaps a few small groups or swarmlets my appear on the Batinah from the Indo-Pakistan summer breeding areas by the end of the forecast period. Laying could occur in areas of rainfall.,NEAR EAST
691,1997,SEPT,BAHRAIN,,No significant developments are likely.,NEAR EAST
692,1997,SEPT,IRAQ,,No significant developments are likely.,NEAR EAST
693,1997,SEPT,ISRAEL,,No significant developments are likely.,NEAR EAST
694,1997,SEPT,JORDAN,,No significant developments are likely.,NEAR EAST
695,1997,SEPT,QATAR,,No significant developments are likely.,NEAR EAST
696,1997,SEPT,SYRIA,,No significant developments are likely.,NEAR EAST
697,1997,SEPT,TURKEY,,No significant developments are likely.,NEAR EAST
698,1997,SEPT,UAE,,No significant developments are likely.,NEAR EAST
699,1997,SEPT,PAKISTAN,"During  the  first  fortnight  of  September,  breeding increased in desert areas along the border with India. Ground and aerial control operations were undertaken against 11 mature swarms in the Khipro desert and two in the Nara desert. The swarms varied in size from 100400 ha and were seen copulating. Operations were also carried out against 246 first to third instar hopper bands within an area of 1,800 ha in Nara and Khipro. Some patchy solitary breeding was reported in Khipro, Nara and Cholistan deserts where low to mdium density hoppers of all instars and solitary adults were treated. Isolated mature or maturing adults up to 9 per ha  were  reported  from  13  locations  between Tharparkar and Cholistan. During the second fortnight of September, increased ground control operations were carried out against small hopper bands of all instars and fledglings in the Khipro and Nara deserts within an area of 18,500 ha and another 5,230 ha were treated by air. Solitarious maturing and mature adults at densities up to 15 per ha were reported from various locations in Lasbela and Cholistan as well as in the above areas.","Fledging will continue during early October in areas of previous breeding with the possibility of new adults forming groups and a few small swarms. Further breeding is unlikely as conditions are expected to become dry. Adults that escape control operations will move towards the west. Consequently, moderate numbers of adults and perhaps a few groups and swarms are likely to appear in the interior and coastal areas of Baluchistan by the end of the forecast period. These my be supplemented by additional populations coming from India.",SOUTH-WEST ASIA
700,1997,SEPT,INDIA,"In addition to the swarms reported during the second fortnight of August (Bulletin 228), isolated solitary adults at densities of up to 60 per ha were reported from 50 locations in Nagaur district and 31 in Jodhpur. A single second instar hopper was seen in Jodhpur district at Udat (2733N/7244E) on the 28th indicating small scale breeding. A total of 625 ha of swarms were treated rather than 1,200 ha as previously reported. During  the  first  fortnight  of  September,  control operations  were  carried  out  against  six  mature swarmlets  (938  ha)  and  hoppers  of  all  instars, fledglings and new adults (3,965 ha) in Rajasthan. The swarms varied in size from 25-900 ha. Most of the operations  were  concentrated  in  Jaisalmer  district between Sam (2640N/7011E) and the Pakistani border, and further south in the Sundra (2605N/7013E) area in Barmer district. Scattered adults up to 150 per ha were reported from 36 locations of Bikaner, 12 locations of Barmer and 6 locations of Jodhpur districts. Solitary breeding was also reported in the Sam and Sundra areas. Many of the infestations were near the Pakistani border.",Fledging will continue during early October in areas of previous breeding with the possibility of new adults forming groups and a few small swarms. Further breeding is unlikely as conditions are expected to become dry with the termination of the mnsoon. Adult numbers will decline throughout the forecast period as they start to movewest towards the spring breeding areas of western Pakistan.,SOUTH-WEST ASIA
701,1997,SEPT,IRAN,,Low to moderate numbers of adults and perhaps a few small groups or swarmlets my appear in coastal and interior areas of Baluchistan from the IndoPakistan summer breeding areas by the end of the forecast period.,SOUTH-WEST ASIA
702,1997,SEPT,AFGHANISTAN,,Low to moderate numbers of adults and perhaps a few small groups or swarmlets my appear in the south from the Indo-Pakistan summer breeding areas by the end of the forecast period.,SOUTH-WEST ASIA
703,1998,APR,MAURITANIA,No locusts were seen in April.,Isolated solitarious adults are likely to be present in a few areas of the north between Akjoujt and El Hank. Numbers will decrease as conditions become unfavourable and adults will start to movesouth and appear in summer breeding areas. The scale of this movement will probably be very small.,WEST AFRICA
704,1998,APR,MALI,No reports received.,Low numbers of solitarious adults my be present in a few of the mjor wadis in the Adrar des Iforas and Tilemsi Valley.,WEST AFRICA
705,1998,APR,NIGER,No reports received.,Low numbers of solitarious adults my be present in a few places of Tamesna.,WEST AFRICA
706,1998,APR,CHAD,No reports received.,No significant developments are likely.,WEST AFRICA
707,1998,APR,SENEGAL,No reports received.,No significant developments are likely.,WEST AFRICA
708,1998,APR,BURKINA FASO,,No significant developments are likely.,WEST AFRICA
709,1998,APR,CAPE VERDE,,No significant developments are likely.,WEST AFRICA
710,1998,APR,GAMBIA,,No significant developments are likely.,WEST AFRICA
711,1998,APR,GUINEA BISSAU,,No significant developments are likely.,WEST AFRICA
712,1998,APR,GUINEA CONAKRY,,No significant developments are likely.,WEST AFRICA
713,1998,APR,ALGERIA,Isolated adults were present north-west of the Hoggar Mountains during April.,A few isolated adults my be present and persist in the central and southern Sahara.,NORTH-WEST AFRICA
714,1998,APR,MOROCCO,No locusts were seen  in February and March.,Isolated solitary adults my be present in the extreme south-west and breeding in areas of recent rainfall.,NORTH-WEST AFRICA
715,1998,APR,TUNISIA,No locusts were seen  in March.,No significant developments are likely.,NORTH-WEST AFRICA
716,1998,APR,LIBYA,No reports received.,No significant developments are likely.,NORTH-WEST AFRICA
717,1998,APR,SUDAN,No reports received.,Low numbers of adults are expected to appear in the summer breeding areas by the end of the forecast period. Laying could occur if early rains fall.,EASTERN AFRICA
718,1998,APR,ERITREA,No reports received.,Isolated locusts my be present in a few places on the southern Red Sea coastal plains. Low numbers of adults are likely to seen in the highlands as they mve towards the summer breeding areas of the western lowlands where they could appear by the end of the forecast period. There is a low risk that these my be supplemented by other adult groups and perhaps a few small swarms that could appear from Djibouti and north-western Somalia.,EASTERN AFRICA
719,1998,APR,SOMALIA,"During the first half of April, a mature swarm was seen on the escarpment north-west of Hargeisa at Borama (0956N/4311E) and at Isha Sugule (0954N/ 4321E). Aerial control operations treated two mdium dense mature swarms on the escarpment north-west of Agabar (1002N/4345E) and south of Hagal (1015N/ 4544E) on the 9-10th. One swarm was about 10 sq km in size and the other was about 4 sq km. There were also unconfirmed reports of two swarms in the mountains between Erigavo and Bosaso on the 12th.","Swarm laying my have occurred in some coastal and interior areas from the Ethiopian border to Las Koreh. If so, hoppers are expected to appear and form small bands during the forecast period. Any mature swarms that persist will likely moveinland.",EASTERN AFRICA
720,1998,APR,DJIBOUTI,No reports received.,"Low numbers of solitarious and perhaps transiens adults my be present along the northern coastal plains. There is a low risk that these my be supplemented by adult groups and perhaps a few small swarms that could appear from adjacent areas of northern Somalia. As conditions become dry, these are expected to movetowards the north-west.",EASTERN AFRICA
721,1998,APR,ETHIOPIA,"On 8 April, there was an unconfirmed report of a swarm east of Jijiga (0916N/4246E). On the 16th, control operations were undertaken nearby at Lefaisa (0936N/4258E), treating 100 ha of adults. No locusts were seen during surveys in the Afar region near Serdo (1158N/4113E) and Mego (1130N/4137E) at mid  month.","There is a low risk that scattered adults and perhaps a few small groups or swarms my appear from northern Somalia near Dire Dawa and Jijiga. Similar infestations my also appear in the Afar region and in the northern highlands. As conditions are expected to remain dry, these adults are likely to continue to movenorth-west towards the summer breeding areas of Eritrea and Sudan.",EASTERN AFRICA
722,1998,APR,KENYA,,No significant developments are likely.,EASTERN AFRICA
723,1998,APR,TANZANIA,,No significant developments are likely.,EASTERN AFRICA
724,1998,APR,UGANDA,,No significant developments are likely.,EASTERN AFRICA
725,1998,APR,SAUDI ARABIA,"Hopper band infestations persisted during April along the Red Sea coastal plains south-west of Medinah and near Jizan. Most of the bands were scattered in small patches of 100-500 sq min size. Control operations treated a total of 20,557 ha of hopper bands primarily near Medinah in the Ar-Riyan area (2308N/3920E), near Jizan and, to a lesser extent, near Lith, Qunfidah and Al-Baha. During the month, three swarms were reported near Jizan at Sharqiq (1747N/4148E) and Al-Mousim (1624N/ 4245E), varying in size from 2-4 sq km. Two of the swarms consisted of maturing adults while the third contained immature adults. All of the swarms dispersed within a larger area of up to 30 sq km. A total of 1,900 ha of swarms were treated. By the end of the  month, the number of control teams had been reduced and operations had ceased in mst areas except near Jizan. In the interior, isolated solitarious adults at densities of 2-5 per ha were reported from four areas between Jeddah and Riyadh and between Hail and Riyadh. So far, there is no indication of a large or significant mgration from the Red Sea coastal plains to the spring breeding areas of the interior.",Locust infestations will decline in all areas along the Red Sea coastal plains except near Jizan and the Yemen border where some adults are likely to persist and my form a few small swarms. Locust numbers may increase in the central and northern interior as scattered adults and perhaps a few small groups appear in areas of recent rainfall.,NEAR EAST
726,1998,APR,EGYPT,Small groups of mature adults were reported to have arrived at three places in the Lake Nasser area (ca. 2300N/3240E) on southerly winds on 18-20 April. Ground teams treated 147 ha and only a few scattered adults remained at the end of the  month.,Low numbers of adults my persist and breed in a few oases near Lake Nasser.,NEAR EAST
727,1998,APR,YEMEN,"On the northern Red Sea coastal plains, hatching continued near Midi (1619N/4249E) in early April and extended over a large area between Wadi Hairan (1617N/4300E) and the Saudi Arabian border. As a result, numerous small early instar hopper bands at densities of up to 350 hoppers per sq mwere scattered within this area. By the end of the  month, most of the hoppers had reached fourth or fifth instar. Groups of immature adults at densities of up to 300 per ha were reported at a few places in Wadi Hairan, suggesting that fledging was in progress. Ground control operations resumed on the 10th and treated 5,220 ha during the remainder of the  month. On the coastal plains east of Aden, ground control operations were carried out against small groups of third to fifth instar hoppers, at densities up to 500 per sq. m and fledglings at several locations on 28-30 April. A total of 80 ha were treated.","On the northern Red Sea coastal plains, hoppers that escape control in the Midi area will fledge early in the forecast period and my form small groups or swarms. Adults could persist in areas of recent rainfall or moveeast towards the interior or west across the Red Sea. On the Aden coastal plains, additional hatching my occur early in the forecast period. Any hoppers that escape control operations my form small groups of adults that could persist or moveinto the interior of Shbwa and Hadhramaut where small scale breeding could occur if rains fall.",NEAR EAST
728,1998,APR,KUWAIT,No locusts were seen in March.,No significant developments are likely.,NEAR EAST
729,1998,APR,OMAN,No reports received.,"Low numbers of adults my be present in a few places along the Batinah coast and perhaps in Sharqiya where breeding my be in progress in areas of recent rainfall. By the end of the forecast period, numbers should start to decline as conditions dry out. Surveys are recommended.",NEAR EAST
730,1998,APR,UAE,No reports received.,Low numbers of adults my be present on the Fujayrah coast. Surveys are recommended.,NEAR EAST
731,1998,APR,BAHRAIN,,No significant developments are likely.,NEAR EAST
732,1998,APR,IRAQ,,No significant developments are likely.,NEAR EAST
733,1998,APR,ISRAEL,,No significant developments are likely.,NEAR EAST
734,1998,APR,JORDAN,,No significant developments are likely.,NEAR EAST
735,1998,APR,QATAR,,No significant developments are likely.,NEAR EAST
736,1998,APR,SYRIA,,No significant developments are likely.,NEAR EAST
737,1998,APR,TURKEY,,No significant developments are likely.,NEAR EAST
738,1998,APR,IRAN,"In md March, isolated mature adults at densities up to 3 per ha were present in the interior of Baluchistan at a few places west of Iranshahr (2715N/6041E). By the end of the  month, laying was reported in several places. On the coastal plains, mature adults at densities up to about 300 per ha, mxed with fourth instar hoppers and fledglings, were seen later in the month at several place west of Chabahar (2518N/ 6038E). During April, mature adults at densities up to about 200 per ha were present on the coastal plains east of Chabahar as well as on the Vashnum Plains (2523N/ 6040E) throughout the  month. On the 24th, control operations treated 950 ha of hoppers of all instars, fledglings, immature and mature adults at Roudar (2532N/5959E). In the interior, mature adults persisted near Iranshahr while low numbers of solitarious mature adults were reported further east near Saravan (2725N/6217E).","Small scale breeding will continue early in the forecast period in a few places along the southeastern coastal plains near Chabahar and in the interior areas of Iranshahr and Saravan. As conditions start to dry up, locust numbers will decrease and, by the end of the forecast period, adults are expected to move east towards the Indo-Pakistan summer breeding areas.",SOUTH-WEST ASIA
739,1998,APR,PAKISTAN,"During the first fortnight of April, scattered solitarious adults were present at a few places in coastal areas of Mekran, Lasbela and Khuzdar districts of Baluchistan. Low numbers of hoppers and a mximum of 40 adults were seen in Turbat district at Sulaika (2550N/6256E) on the 2nd. During the second fortnight, adults persisted in the coastal and interior areas of Baluchistan and increased in number to about 80 adults per location. Solitarious hoppers were maturing in the Turbat area at Sulaika where fourth and fifth instar hoppers at densities of 1-2 per bush were seen in a 20 sq m area. Isolated fifth instar hoppers were also reported nearby at Sholi (2536N/6215E) in a one sq km area on the 29th.",Small scale fledging will occur throughout the forecast period. Locust numbers will decline in Baluchistan as adults moveeast towards the summer breeding areas along the Indo-Pakistan border where they should appear by the end of the forecast period. This mvement is expected to be on a small scale.,SOUTH-WEST ASIA
740,1998,APR,INDIA,No locusts were reported during the second fortnight of March and in April.,Isolated solitarious adults are likely to be present and persist in a few places of Rajasthan and Gujarat.,SOUTH-WEST ASIA
741,1998,APR,AFGHANISTAN,,No significant developments are likely.,SOUTH-WEST ASIA
742,1998,AUG,MAURITANIA,A single solitarious hopper was seen south of Kiffa at 1610N/1139E on 10 August. No other locusts were seen during surveys in the south.,"Small scale breeding is expected to continue and extend into areas of recent rainfall in the south and centre of the country as well as in the north near Atar. As a result, locust numbers will increase but remain at a low and non-threatening level.",WEST AFRICA
743,1998,AUG,MALI,There were unconfirmed reports from nomads of adults present in md August in the Adrar des Iforas south of Kidal between Wadi Alkit (1811N/0113E) and Wadi Edjerer (1810N/0145E).,"Low numbers of solitarious adults are expected to be present and breeding in a few of the mjor wadis in the Adrar des Iforas, the Tilemsi Valley, Timetrine and Tamesna.",WEST AFRICA
744,1998,AUG,NIGER,No reports received.,Low numbers of solitarious adults are likely to be present and breeding in Tamesna where rains have recently fallen. Breeding is expected to continue and scattered hoppers and adults are likely to appear.,WEST AFRICA
745,1998,AUG,CHAD,No reports received.,Low numbers of solitarious adults my be present in a few places in Biltine and Ennedi. Small scale breeding is likely to occur in areas of recent rainfall.,WEST AFRICA
746,1998,AUG,SENEGAL,No reports received.,No significant developments are likely.,WEST AFRICA
747,1998,AUG,BURKINA FASO,,No significant developments are likely.,WEST AFRICA
748,1998,AUG,CAPE VERDE,,No significant developments are likely.,WEST AFRICA
749,1998,AUG,GAMBIA,,No significant developments are likely.,WEST AFRICA
750,1998,AUG,GUINEA BISSAU,,No significant developments are likely.,WEST AFRICA
751,1998,AUG,GUINEA CONAKRY,,No significant developments are likely.,WEST AFRICA
752,1998,AUG,ALGERIA,No locusts were reported during August.,Isolated adults are likely to present near the Hoggar Mountains and in the extreme south near Mali and Niger. Small scale breeding my occur in areas of recent rainfall.,NORTH-WEST AFRICA
753,1998,AUG,MOROCCO,No locusts were reported during August.,No significant developments are likely.,NORTH-WEST AFRICA
754,1998,AUG,TUNISIA,No locusts were seen in July.,No significant developments are likely.,NORTH-WEST AFRICA
755,1998,AUG,LIBYA,No reports received.,No significant developments are likely.,NORTH-WEST AFRICA
756,1998,AUG,SUDAN,"In the Northern Province, low numbers of solitarious mature adults were seen copulating in Wadi Doshin (1621N/3343E) on 12 August and similar numbers of mature adults were present at Shgig (1737N/3313E) on the 16th. In Northern Darfur, scattered solitarious adults were present south of El Fasher (1337N/ 2522E). No reports were received from Northern Kordofan or the Eastern region.","Low numbers of solitarious adults are likely to be scattered throughout parts of Northern Darfur, Northern Kordofan, Northern and Eastern regions. Locust numbers are expected to increase as a result of small scale breeding in areas of recent rainfall. Hoppers should be present during the forecast period and start to fledge from late September onwards. A few of these could begin to appear in the Red Sea area in md October.",EASTERN AFRICA
757,1998,AUG,ERITREA,No locusts were seen in the western lowlands during surveys on 22-24 July and 6-8 August. No locusts were reported from the Red Sea coastal plains.,Low numbers of locusts are probably present in parts of the western lowlands. Small scale breeding is expected to occur in areas of recent rainfall with hoppers and new adults appearing during the forecast period.,EASTERN AFRICA
758,1998,AUG,SOMALIA,Isolated maturing adults were present at few places on the plateau west of Hargeisa on 30 July to 5 August. Similar populations were seen during surveys in the eastern region north-west of Gardo (0930N/ 4906E) on 16-21 August.,Low numbers of solitarious adults are likely to persist and breed in a few places on the western and eastern escarpment.,EASTERN AFRICA
759,1998,AUG,DJIBOUTI,No reports received.,No significant developments are likely.,EASTERN AFRICA
760,1998,AUG,ETHIOPIA,"No locusts were seen in the eastern region near Dire Dawa and Jigjiga during surveys on 7-21 August. Elsewhere, no locusts were reported.",Isolated adults my be present and breeding on a small scale in areas of recent rainfall near Dire Dawa.,EASTERN AFRICA
761,1998,AUG,KENYA,,No significant developments are likely.,EASTERN AFRICA
762,1998,AUG,TANZANIA,,No significant developments are likely.,EASTERN AFRICA
763,1998,AUG,UGANDA,,No significant developments are likely.,EASTERN AFRICA
764,1998,AUG,SAUDI ARABIA,No locusts were reported during August.,Low numbers of locusts are likely to present and breeding on the southern Tihama near Jizan and in the interior where rains have recently fallen.,NEAR EAST
765,1998,AUG,YEMEN,"In July, solitarious and transiens maturing adults at densities of up to 1,500 per ha were present at several places in the interior of Shbwah near Ataq (1435N/ 4649E) on the 12-15th. During August, adult densities increased and groups started to form. Groups at densities of 10-15 adults per sq mwere seen copulating in Wadi Mayfa’ah at Ar-Raydah (1417N/4734E). On the 16th, laying groups were seen at three other places; hatching was reported at one of these. No locusts were seen during surveys carried out on the Red Sea coastal plains on 2 August.",Small scale breeding could extend into areas of recent rainfall in the eastern desert between Al-Jawf and Hadhramaut. Hoppers are likely to appear and fledge from early October onwards; some my form small groups or bands. Scattered adults my be present or appear on the Red Sea coastal plains and start to breed in areas of recent rains.,NEAR EAST
766,1998,AUG,EGYPT,Isolated mature adults were present in a few oases in the Nile River Valley near Lake Nasser on 12-15 August. Similar populations were also seen in a few wadis along the southern coastal plains of the Red Sea and in adjacent subcoastal areas on the 17-21st.,Isolated adults will persist and perhaps breed on a very small scale in a few oases near Lake Nasser and in the Western Desert as well as in those areas that remain green on the Red Sea coastal plains.,NEAR EAST
767,1998,AUG,KUWAIT,No locusts were reported during July.,No significant developments are likely.,NEAR EAST
768,1998,AUG,OMAN,No reports received.,No significant developments are likely.,NEAR EAST
769,1998,AUG,UAE,No locusts were reported during July.,No significant developments are likely.,NEAR EAST
770,1998,AUG,BAHRAIN,,No significant developments are likely.,NEAR EAST
771,1998,AUG,IRAQ,,No significant developments are likely.,NEAR EAST
772,1998,AUG,ISRAEL,,No significant developments are likely.,NEAR EAST
773,1998,AUG,JORDAN,,No significant developments are likely.,NEAR EAST
774,1998,AUG,QATAR,,No significant developments are likely.,NEAR EAST
775,1998,AUG,SYRIA,,No significant developments are likely.,NEAR EAST
776,1998,AUG,TURKEY,,No significant developments are likely.,NEAR EAST
777,1998,AUG,IRAN,"During July, no locusts were seen during surveys on the coastal plains east of Bushehr, and in the interior west of Iranshahr and near Zabili on the 25-30th. During August, no locusts were seen on the coastal plains east of Bushehr on the 8th. Isolated mature adults were present at four locations at densities up to 22 per ha along the coastal plains of Chabahar (2518N/6038E) bay.",Isolated adults my persist at a few places along the Chabahar coastal plains but numbers will remain low and no significant developments are expected.,SOUTH-WEST ASIA
778,1998,AUG,PAKISTAN,"During the second fortnight of July, low numbers of solitarious adults persisted throughout the summer breeding areas. Infestations were scattered from the Tharparkar to Cholistan deserts as well as in Las Bela district west of Karachi. Locusts at densities up to 19 per ha were present at 50 locations. During August, there was a steady decline in the number of locations reporting infestations as well as in the locust densities recorded. Up to 15 adults per ha were present at 37 locations during the first fortnight; most of these were in Mirpurkhas district of Tharparkar. During the second fortnight, locusts were present at 28 locations with a mximum density of 9 per ha.","Low numbers of hoppers and fledglings are likely to be present in some areas of Tharparkar, Cholistan and Las Bela as a result of earlier breeding. By the end of the forecast period, no further breeding is likely but adult numbers my increase slightly as some appear from the east and continue mving west towards Baluchistan.",SOUTH-WEST ASIA
779,1998,AUG,INDIA,"During the second fortnight of July, low numbers of solitarious adults persisted throughout the summer breeding areas of Rajasthan. Locusts at densities up to 30 per ha were present at 55 locations, primarily in Bikaner and Barmer districts and to a lesser extent in Jodhpur, Jaisalmer, Jalore and Nagpur. Breeding was reported in Bikaner district where first to third instar hoppers were seen at Lunkaransar (2829N/7345E) on the 16, 27-28th. During August, there was a steady decline in the number of locations reporting infestations as well as in the locust densities recorded. Up to 6 adults per ha were present at 13 locations during the first fortnight of the  month, decreasing to 11 locations with densities of 4 per ha during the second fortnight.","Low numbers of hoppers and fledglings are likely to be present in parts of Rajasthan as a result of earlier breeding. Overall numbers will continue to decline as further breeding is unlikely. By the end of the forecast period, adults will start to movewestwards on a very limited scale.",SOUTH-WEST ASIA
780,1998,AUG,AFGHANISTAN,,"No significant developments are likely. Madagascar update African Migratory Locust.  During August, swarms were maturing in mst of the infested areas throughout Madagascar. In the western part of the country, more than 40 swarms with an average size of 500 ha but varying from 4 ha to 3,750 ha were reported during the first decade. Females were said to be completely mature near Ankay and laying had commenced by the second decade. Additional reports were received during the remainder of the  month of low to high density maturing swarms along the Tulear-Antananarivo highway (RN7) between Antsirabe and Sakaraha. One swarm was seen copulating south of Antsirabe near Ambositra. Elsewhere, numerous swarms persisted in the north-west of the country. No swarms were reported in the extreme south-west. During August, the two EC-funded helicopters treated 80 swarms, covering an area of 35,588 ha. Red Locust.  Swarms persisted in the Tsivory area of southern Madagascar.",SOUTH-WEST ASIA
781,1998,DEC,MAURITANIA,"During December, low densities of scattered adults were present near Atar (2032N/1308W). Small scale breeding occurred between Akjoujt (1944N/1420W) and Atar where low numbers of second to fifth instar hoppers and fledglings were reported. No locusts were seen during surveys further north where conditions were drier.","If additional rains fall, limited breeding is likely to continue in a few areas of the north near Akjoujt, Atar, Zouerate and Bir Moghrein. Low temperatures are expected to delay locust maturation.",WEST AFRICA
782,1998,DEC,MALI,No reports received.,Low numbers of locusts my be present and could persist in a few areas in the Adrar des Iforas.,WEST AFRICA
783,1998,DEC,NIGER,No reports received.,A few isolated adults my be present and could persist in a few areas of Tamesna.,WEST AFRICA
784,1998,DEC,CHAD,No reports received.,No significant developments are likely.,WEST AFRICA
785,1998,DEC,SENEGAL,No reports received.,No significant developments are likely.,WEST AFRICA
786,1998,DEC,BURKINA FASO,,No significant developments are likely.,WEST AFRICA
787,1998,DEC,CAPE VERDE,,No significant developments are likely.,WEST AFRICA
788,1998,DEC,GAMBIA,,No significant developments are likely.,WEST AFRICA
789,1998,DEC,GUINEA BISSAU,,No significant developments are likely.,WEST AFRICA
790,1998,DEC,GUINEA CONAKRY,,No significant developments are likely.,WEST AFRICA
